,ReadingScore,WritingScore,MathScore,Passed
718,55,54,59,0
719,96,93,86,1
720,58,53,56,0
721,68,72,70,0
722,59,66,53,0
723,77,77,69,0
724,72,64,53,0
725,58,54,48,0
726,79,83,75,1
727,61,61,60,0
728,63,59,60,0
729,72,72,74,0
730,74,77,57,0
731,62,60,76,0
732,70,74,67,0
733,59,55,56,0
734,47,48,50,0
735,75,77,79,1
736,65,68,48,0
737,78,79,62,0
738,64,58,64,0
739,57,55,48,0
740,71,70,65,0
741,44,44,36,0
742,80,83,74,1
743,86,84,96,1
744,56,58,47,0
745,90,84,75,1
746,85,82,76,1
747,59,62,52,0
748,79,77,88,1
749,51,44,32,0
750,80,78,74,1
751,37,32,18,0
752,65,62,70,0
753,65,61,52,0
754,62,61,49,0
755,67,73,63,0
756,73,69,65,0
757,81,73,83,1
758,52,52,43,0
759,69,74,58,0
760,70,70,70,0
761,84,81,70,1
762,60,54,69,0
763,54,55,50,0
764,73,68,67,0
765,86,89,84,1
766,74,76,70,0
767,79,72,72,0
768,72,73,62,0
769,45,40,42,0
770,75,69,90,1
771,54,51,59,0
772,31,36,51,0
773,47,49,46,0
774,63,67,53,0
775,85,77,89,1
776,81,84,74,1
777,87,89,96,1
778,71,77,62,0
779,72,68,60,0
780,89,86,74,1
781,90,92,85,1
782,52,52,50,0
783,58,53,49,0
784,66,58,61,0
785,68,70,56,0
786,68,76,64,0
787,53,53,67,0
788,61,59,64,0
789,87,91,76,1
790,59,57,63,0
791,50,46,59,0
792,64,75,61,0
793,65,59,77,0
794,84,82,79,1
795,56,53,57,0
796,52,46,39,0
797,58,52,65,0
798,44,36,23,0
799,78,77,76,1
800,64,64,39,0
801,85,84,88,1
802,85,85,91,1
803,73,69,60,0
804,76,70,82,1
805,67,67,69,0
806,66,61,59,0
807,84,93,86,1
808,65,58,77,0
809,64,55,62,0
810,96,96,96,1
811,69,66,77,0
812,80,83,66,1
813,49,47,53,0
814,73,72,87,1
815,61,51,51,0
816,87,88,83,1
817,41,37,37,0
818,70,80,70,0
819,94,93,99,1
820,80,85,79,1
821,41,41,60,0
822,75,73,80,1
823,52,53,51,0
824,58,47,59,0
825,84,78,82,1
826,87,78,84,1
827,61,59,41,0
828,64,66,80,0
829,82,84,81,1
830,61,54,57,0
831,73,82,60,0
832,76,74,64,0
833,63,64,61,0
834,69,70,70,0
835,75,74,67,0
836,46,44,56,0
837,49,51,47,0
838,76,80,62,0
839,100,99,98,1
840,65,74,69,0
841,50,47,42,0
842,86,93,88,1
843,93,87,87,1
844,68,75,50,0
845,75,76,90,1
846,60,65,55,0
847,34,38,32,0
848,29,27,37,0
849,77,79,62,0
850,53,61,64,0
851,78,82,65,1
852,84,89,85,1
853,79,76,73,1
854,47,40,32,0
855,100,100,93,1
856,85,86,69,1
857,74,73,82,1
858,47,51,56,0
859,86,95,83,1
860,75,72,67,0
861,63,68,67,0
862,42,48,50,0
863,85,84,71,1
864,61,66,52,0
865,61,66,46,0
866,61,56,47,0
867,71,67,70,0
868,100,100,100,1
869,60,52,43,0
870,78,82,58,0
871,96,91,91,1
872,71,68,71,0
873,65,66,71,0
874,65,65,54,0
875,70,69,74,0
876,64,61,76,0
877,56,52,64,0
878,61,72,66,0
879,43,44,46,0
880,54,48,45,0
881,56,62,61,0
882,72,74,62,0
883,73,72,67,0
884,88,91,100,1
885,63,59,72,0
886,56,51,64,0
887,57,57,56,0
888,81,85,85,1
889,69,70,79,0
890,66,72,70,0
891,94,100,81,1
892,65,64,80,0
893,62,61,61,0
894,66,59,56,0
895,61,59,55,0
896,80,78,79,1
897,57,58,47,0
898,49,52,48,0
899,76,74,58,0
900,71,69,91,1
901,78,85,77,1
902,74,72,74,0
903,52,54,58,0
904,67,67,60,0
905,58,64,76,0
906,88,83,86,1
907,100,100,92,1
908,62,59,44,0
909,81,71,75,1
910,58,65,57,0
911,54,54,49,0
912,100,100,100,1
913,74,73,63,0
914,57,58,72,0
915,71,73,63,0
916,69,65,67,0
917,61,57,59,0
918,77,68,70,0
919,82,78,72,1
920,100,100,91,1
921,74,72,82,1
922,50,61,54,0
923,64,61,48,0
924,62,65,52,0
925,64,56,60,0
926,40,48,54,0
927,95,94,91,1
928,24,23,8,0
929,79,79,83,1
930,83,84,76,1
931,89,95,82,1
932,74,81,72,1
933,50,54,56,0
934,58,49,38,0
935,76,77,83,1
936,44,43,41,0
937,87,85,69,1
938,82,76,88,1
939,83,79,66,1
940,76,76,55,0
941,72,74,62,0
942,64,64,66,0
943,99,95,86,1
944,54,55,61,0
945,71,65,59,0
946,78,77,68,0
947,88,89,81,1
948,86,82,72,1
949,96,98,88,1
950,73,66,60,0
951,57,63,74,0
952,52,54,64,0
953,65,69,60,0
954,72,73,63,0
955,86,81,74,1
956,71,76,48,0
957,63,62,72,0
958,99,100,99,1
959,61,52,59,0
960,81,88,81,1
961,57,62,68,0
962,79,75,95,1
963,94,96,88,1
964,71,66,80,0
965,46,46,42,0
966,77,79,80,1
967,64,68,52,0
968,82,86,79,1
969,83,81,62,1
970,82,85,74,1
971,70,64,65,0
972,76,76,70,0
973,64,52,64,0
974,88,89,72,1
975,57,59,61,0
976,79,80,75,1
977,69,68,65,0
978,76,77,59,0
979,67,68,52,0
980,38,39,49,0
981,100,100,100,1
982,53,55,45,0
983,78,80,70,1
984,69,71,77,0
985,63,62,72,0
986,83,90,77,1
987,96,95,86,1
988,66,72,74,0
989,100,100,100,1
990,68,68,78,0
991,81,79,73,1
992,49,43,59,0
993,64,59,71,0
994,39,37,38,0
995,69,61,62,0
996,76,69,72,0
997,69,64,68,0
998,72,68,47,0
999,50,46,48,0
1000,45,46,29,0
1001,61,61,49,0
1002,35,35,36,0
1003,74,73,70,0
1004,71,71,58,0
1005,54,49,44,0
1006,83,70,77,1
1007,50,45,57,0
1008,70,66,57,0
1009,78,80,63,0
1010,74,74,56,0
1011,73,72,82,1
1012,53,48,58,0
1013,63,64,78,0
1014,68,68,59,0
1015,65,71,72,0
1016,76,69,69,0
1017,55,63,66,0
1018,69,62,56,0
1019,79,76,81,1
1020,73,68,60,0
1021,85,95,65,1
1022,70,67,62,0
1023,48,51,32,0
1024,55,61,71,0
1025,59,49,57,0
1026,65,70,57,0
1027,43,37,48,0
1028,81,80,67,1
1029,69,61,70,0
1030,86,86,73,1
1031,42,39,36,0
1032,98,93,100,1
1033,68,65,66,0
1034,36,36,26,0
1035,53,51,52,0
1036,64,59,61,0
1037,64,59,66,0
1038,75,69,70,0
1039,67,75,65,0
1040,73,74,79,1
1041,69,63,53,0
1042,62,58,62,0
1043,72,69,71,0
1044,67,68,72,0
1045,64,68,55,0
1046,88,94,70,1
1047,79,76,72,1
1048,87,76,78,1
1049,91,92,77,1
1050,76,75,64,0
1051,65,61,55,0
1052,79,78,61,0
1053,95,97,88,1
1054,50,48,50,0
1055,77,81,79,1
1056,47,46,49,0
1057,54,60,46,0
1058,65,70,57,0
1059,64,63,58,0
1060,50,48,44,0
1061,74,77,80,1
1062,63,55,70,0
1063,83,77,65,1
1064,73,75,65,0
1065,62,71,74,0
1066,82,84,81,1
1067,61,59,55,0
1068,66,60,52,0
1069,59,46,54,0
1070,91,89,86,1
1071,75,84,71,1
1072,51,54,61,0
1073,58,58,56,0
1074,80,73,76,1
1075,69,71,52,0
1076,53,52,47,0
1077,90,87,84,1
1078,95,100,91,1
1079,81,77,83,1
1080,87,92,99,1
1081,59,59,65,0
1082,59,65,55,0
1083,80,75,69,0
1084,62,56,73,0
1085,51,42,36,0
1086,78,70,63,0
1087,75,72,66,0
1088,77,71,69,0
1089,61,62,58,0
1090,51,48,58,0
1091,73,71,61,0
1092,87,79,77,1
1093,59,63,52,0
1094,90,82,90,1
1095,76,79,66,0
1096,87,87,71,1
1097,67,61,60,0
1098,46,49,45,0
1099,71,73,72,0
1100,65,60,64,0
1101,65,62,72,0
1102,67,51,56,0
1103,76,64,67,0
1104,92,92,64,1
1105,66,71,74,0
1106,63,53,54,0
1107,58,53,54,0
1108,66,63,52,0
1109,76,77,80,1
1110,77,72,57,0
1111,52,50,47,0
1112,73,68,58,0
1113,52,49,53,0
1114,69,69,75,0
1115,72,72,59,0
1116,58,55,39,0
1117,91,88,80,1
1118,75,77,80,1
1119,63,53,67,0
1120,61,60,63,0
1121,78,69,78,1
1122,76,76,73,1
1123,70,71,51,0
1124,68,68,76,0
1125,70,79,68,0
1126,87,74,93,1
1127,69,69,62,0
1128,63,60,68,0
1129,68,74,55,0
1130,75,75,57,0
1131,57,61,56,0
1132,53,51,46,0
1133,50,38,53,0
1134,78,74,80,1
1135,54,49,38,0
1136,67,68,77,0
1137,74,83,82,1
1138,58,46,43,0
1139,56,55,61,0
1140,94,95,81,1
1141,63,67,62,0
1142,69,70,53,0
1143,82,72,76,1
1144,83,82,61,1
1145,66,63,48,0
1146,62,71,68,0
1147,92,86,93,1
1148,55,46,55,0
1149,63,56,41,0
1150,63,68,76,0
1151,80,87,67,1
1152,46,39,47,0
1153,67,73,63,0
1154,51,51,52,0
1155,85,90,82,1
1156,82,79,87,1
1157,60,54,40,0
1158,45,44,64,0
1159,94,91,87,1
1160,72,75,64,0
1161,68,67,57,0
1162,67,66,69,0
1163,57,60,76,0
1164,82,76,74,1
1165,62,63,62,0
1166,73,61,53,0
1167,64,64,44,0
1168,70,63,56,0
1169,56,51,32,0
1170,61,63,67,0
1171,76,67,83,1
1172,62,59,59,0
1173,62,60,63,0
1174,64,63,42,0
1175,43,38,41,0
1176,97,92,94,1
1177,60,62,56,0
1178,78,74,70,0
1179,55,57,41,0
1180,79,86,72,1
1181,83,93,89,1
1182,79,74,82,1
1183,79,79,66,0
1184,93,90,86,1
1185,80,67,67,0
1186,66,68,65,0
1187,92,99,81,1
1188,52,50,45,0
1189,62,61,76,0
1190,85,80,75,1
1191,70,69,61,0
1192,78,78,70,1
1193,80,84,74,1
1194,73,72,73,0
1195,67,60,62,0
1196,58,59,53,0
1197,68,65,66,0
1198,59,56,53,0
1199,48,37,26,0
1200,75,87,82,1
1201,56,50,67,0
1202,76,77,81,1
1203,81,77,89,1
1204,73,68,71,0
1205,74,74,83,1
1206,49,50,29,0
1207,85,80,74,1
1208,77,75,73,1
1209,93,91,95,1
1210,46,43,36,0
1211,53,52,57,0
1212,76,75,85,1
1213,79,82,77,1
1214,72,77,86,1
1215,83,89,86,1
1216,63,66,65,0
1217,66,58,53,0
1218,76,72,78,1
1219,71,73,55,0
1220,56,57,54,0
1221,55,57,52,0
1222,86,84,82,1
1223,73,68,52,0
1224,69,67,78,0
1225,72,66,57,0
1226,81,79,59,0
1227,74,73,62,0
1228,79,79,80,1
1229,48,46,51,0
1230,44,51,45,0
1231,67,69,74,0
1232,69,70,72,0
1233,72,66,60,0
1234,77,76,70,0
1235,61,62,63,0
1236,48,38,42,0
1237,48,50,38,0
1238,66,68,61,0
1239,61,49,48,0
1240,65,63,71,0
1241,63,60,58,0
1242,52,52,64,0
1243,57,53,44,0
1244,47,44,57,0
1245,60,54,81,0
1246,80,82,74,1
1247,56,57,49,0
1248,91,92,91,1
1249,65,66,76,0
1250,67,62,46,0
1251,46,42,45,0
1252,40,38,26,0
1253,55,54,63,0
1254,65,61,49,0
1255,58,58,63,0
1256,63,54,64,0
1257,50,56,55,0
1258,61,59,51,0
1259,70,70,82,0
1260,82,83,65,1
1261,96,91,64,1
1262,83,86,86,1
1263,80,79,74,1
1264,66,74,71,0
1265,75,72,75,0
1266,83,81,99,1
1267,49,46,44,0
1268,69,63,69,0
1269,92,93,76,1
1270,71,71,77,0
1271,72,75,59,0
1272,53,49,45,0
1273,52,48,63,0
1274,65,55,63,0
1275,48,47,61,0
1276,81,80,70,1
1277,79,72,75,1
1278,83,84,90,1
1279,74,80,72,1
1280,61,53,44,0
1281,77,72,87,1
1282,52,54,55,0
1283,81,85,70,1
1284,91,87,66,1
1285,88,84,72,1
1286,61,58,57,0
1287,67,58,64,0
1288,75,79,84,1
1289,84,78,93,1
1290,71,73,57,0
1291,86,92,86,1
1292,73,68,57,0
1293,69,70,66,0
1294,40,46,52,0
1295,80,81,79,1
1296,80,74,83,1
1297,31,29,23,0
1298,69,64,65,0
1299,73,73,63,0
1300,95,93,80,1
1301,74,71,70,0
1302,79,79,78,1
1303,92,90,95,1
1304,56,53,51,0
1305,100,100,100,1
1306,54,59,53,0
1307,81,85,79,1
1308,57,48,53,0
1309,71,78,75,0
1310,73,67,67,0
1311,77,82,81,1
1312,89,93,96,1
1313,84,91,96,1
1314,53,50,66,0
1315,74,78,85,1
1316,46,48,47,0
1317,72,73,80,1
1318,58,62,62,0
1319,83,75,83,1
1320,60,52,57,0
1321,80,81,90,1
1322,70,74,71,0
1323,77,80,87,1
1324,74,71,79,0
1325,88,93,86,1
1326,65,69,52,0
1327,68,73,75,0
1328,80,79,65,0
1329,68,72,73,0
1330,32,33,41,0
1331,59,57,70,0
1332,50,49,57,0
1333,78,78,64,0
1334,63,65,51,0
1335,81,66,63,0
1336,84,81,72,1
1337,58,51,62,0
1338,58,58,55,0
1339,45,44,53,0
1340,77,83,74,1
1341,85,89,76,1
1342,48,49,52,0
1343,26,32,42,0
1344,23,27,38,0
1345,99,100,100,1
1346,55,47,58,0
1347,51,52,46,0
1348,62,56,55,0
1349,68,64,71,0
1350,66,65,67,0
1351,47,42,30,0
1352,69,75,68,0
1353,58,60,73,0
1354,42,38,40,0
1355,65,62,54,0
1356,75,70,62,0
1357,73,67,75,0
1358,37,38,45,0
