,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,ReadingScore,WritingScore,MathScore
26,male,group B,some college,standard,none,married,sometimes,yes,5,school_bus,< 5,53,53,66
27,female,group C,bachelor's degree,standard,none,married,sometimes,yes,4,school_bus,> 10,70,76,69
28,male,group C,high school,standard,none,married,sometimes,no,1,private,05-Oct,70,65,70
30,female,group D,some college,standard,none,single,sometimes,yes,0,private,< 5,72,72,66
31,female,group B,some college,standard,none,single,sometimes,yes,5,,05-Oct,65,61,63
32,female,group E,master's degree,free/reduced,none,divorced,sometimes,yes,1,school_bus,05-Oct,73,66,56
33,male,,some college,standard,none,married,sometimes,no,2,private,05-Oct,42,38,40
34,male,group E,some college,standard,none,divorced,sometimes,yes,0,school_bus,,87,82,97
35,male,group E,associate's degree,standard,completed,single,sometimes,no,,school_bus,05-Oct,81,79,81
36,female,group D,associate's degree,standard,none,married,regularly,no,2,private,05-Oct,82,85,76
37,female,group D,some high school,free/reduced,none,married,regularly,yes,1,private,05-Oct,64,60,51
38,female,group D,associate's degree,free/reduced,completed,married,regularly,no,1,school_bus,05-Oct,91,90,77
39,male,group B,associate's degree,free/reduced,none,single,regularly,yes,5,school_bus,05-Oct,56,58,58
40,male,group C,associate's degree,free/reduced,none,married,never,yes,0,school_bus,05-Oct,60,52,53
41,female,group C,associate's degree,standard,none,divorced,regularly,no,1,,05-Oct,74,69,59
43,male,group B,some college,free/reduced,,married,regularly,yes,3,school_bus,05-Oct,65,67,60
44,female,group E,associate's degree,free/reduced,none,married,sometimes,yes,5,school_bus,< 5,55,52,48
45,male,group B,associate's degree,standard,none,single,sometimes,yes,3,school_bus,< 5,53,55,63
47,female,group C,high school,standard,none,married,regularly,yes,,private,05-Oct,72,77,67
49,male,group C,high school,standard,completed,married,sometimes,,3,,05-Oct,84,82,82
50,male,group E,some college,standard,none,married,,no,3,school_bus,> 10,55,48,54
51,male,,associate's degree,free/reduced,completed,married,regularly,no,2,private,< 5,68,68,76
52,male,group C,some college,standard,none,divorced,regularly,yes,3,school_bus,> 10,45,43,56
53,male,group D,high school,standard,none,single,sometimes,yes,2,school_bus,05-Oct,78,75,88
54,female,,some high school,free/reduced,completed,married,regularly,yes,,private,> 10,86,90,75
55,female,group C,high school,free/reduced,none,divorced,sometimes,yes,2,private,05-Oct,41,43,33
56,female,group E,associate's degree,standard,completed,married,sometimes,yes,3,school_bus,> 10,86,87,84
57,male,group D,associate's degree,standard,none,single,sometimes,no,2,private,05-Oct,55,49,52
58,male,group D,,standard,completed,married,regularly,no,1,private,> 10,60,60,61
59,female,group C,some high school,free/reduced,none,single,regularly,yes,3,school_bus,> 10,17,10,0
61,male,group A,some high school,free/reduced,none,married,sometimes,yes,,school_bus,05-Oct,39,34,39
62,male,group A,associate's degree,free/reduced,none,married,sometimes,yes,5,private,05-Oct,61,55,62
64,female,group D,some high school,standard,none,married,sometimes,yes,0,school_bus,05-Oct,58,59,59
65,male,group B,some high school,standard,none,married,never,yes,1,private,< 5,62,58,63
66,male,group D,some high school,free/reduced,none,married,sometimes,yes,4,school_bus,05-Oct,37,37,45
67,female,group C,some college,standard,none,married,regularly,no,3,school_bus,05-Oct,73,75,61
68,male,group B,associate's degree,free/reduced,none,divorced,regularly,no,3,school_bus,,58,57,62
69,female,group C,associate's degree,standard,none,single,sometimes,yes,3,school_bus,05-Oct,64,57,39
71,male,group D,some college,standard,completed,divorced,sometimes,yes,3,private,> 10,55,64,64
72,female,group A,associate's degree,free/reduced,none,single,regularly,yes,1,private,05-Oct,51,49,42
73,male,group C,some high school,free/reduced,none,divorced,never,yes,3,school_bus,05-Oct,56,54,59
74,male,group C,some high school,standard,,married,sometimes,yes,2,private,< 5,48,40,47
75,male,group B,associate's degree,free/reduced,none,divorced,sometimes,no,,school_bus,05-Oct,41,38,44
76,male,group E,some high school,standard,none,,sometimes,no,5,school_bus,05-Oct,25,21,28
77,male,group A,,standard,completed,,regularly,yes,,,05-Oct,79,83,82
78,female,group D,some high school,standard,completed,divorced,sometimes,yes,2,school_bus,> 10,75,73,62
79,female,group E,master's degree,standard,none,divorced,never,yes,1,school_bus,05-Oct,68,68,60
80,female,group B,associate's degree,standard,none,married,regularly,yes,0,private,> 10,50,52,49
81,male,group B,high school,free/reduced,none,married,sometimes,yes,0,private,,45,45,49
82,male,group A,some college,free/reduced,completed,married,sometimes,no,,school_bus,05-Oct,47,54,50
83,male,group E,associate's degree,standard,none,married,regularly,yes,0,private,05-Oct,64,64,74
84,male,group D,high school,free/reduced,none,married,never,,3,private,05-Oct,38,33,40
85,female,group C,some college,standard,none,divorced,sometimes,yes,0,private,05-Oct,80,82,73
86,female,group C,some college,free/reduced,none,married,sometimes,yes,,school_bus,< 5,81,86,73
87,female,group D,associate's degree,standard,none,single,sometimes,yes,0,private,05-Oct,71,74,71
88,female,group A,some college,standard,none,divorced,regularly,yes,3,school_bus,< 5,69,67,57
89,female,group D,some high school,standard,none,single,sometimes,yes,,private,> 10,87,83,75
91,male,group C,high school,free/reduced,none,divorced,regularly,no,4,,05-Oct,34,36,27
92,male,group C,high school,standard,none,divorced,sometimes,no,1,,< 5,77,69,68
93,male,group C,associate's degree,free/reduced,completed,married,regularly,no,3,private,> 10,46,52,45
94,female,group B,some college,standard,none,married,regularly,yes,4,private,05-Oct,87,94,81
96,male,group B,some high school,standard,completed,married,regularly,yes,5,school_bus,05-Oct,65,61,63
97,female,,some college,standard,completed,married,never,yes,0,school_bus,< 5,69,66,59
98,female,group D,some college,free/reduced,none,single,regularly,yes,2,,> 10,69,64,61
99,female,group D,bachelor's degree,standard,none,married,regularly,yes,3,school_bus,< 5,66,62,64
100,male,group B,some college,standard,none,married,sometimes,no,7,school_bus,05-Oct,67,67,79
101,male,group D,bachelor's degree,standard,completed,single,sometimes,no,1,private,05-Oct,74,74,68
102,female,group D,associate's degree,standard,none,married,regularly,yes,3,school_bus,05-Oct,92,91,87
103,male,group B,high school,standard,completed,married,regularly,no,3,school_bus,05-Oct,44,48,61
104,male,,some college,standard,completed,married,regularly,yes,1,school_bus,> 10,88,94,100
105,female,group C,some college,standard,none,married,sometimes,yes,0,school_bus,05-Oct,67,72,58
106,female,group D,master's degree,standard,none,married,sometimes,no,3,private,05-Oct,100,100,87
107,male,group E,,standard,completed,single,sometimes,yes,0,school_bus,05-Oct,63,64,66
108,female,group B,associate's degree,free/reduced,none,married,sometimes,yes,2,school_bus,05-Oct,76,70,52
109,female,group B,some high school,standard,none,single,regularly,no,3,school_bus,05-Oct,64,73,72
110,female,group D,associate's degree,free/reduced,completed,single,sometimes,yes,4,school_bus,> 10,90,99,79
111,male,group C,high school,standard,none,single,regularly,no,6,,05-Oct,55,50,63
112,male,group A,associate's degree,standard,none,married,sometimes,yes,0,school_bus,05-Oct,53,47,54
113,female,group D,some college,standard,none,married,never,yes,1,school_bus,< 5,56,51,47
114,female,group E,bachelor's degree,standard,completed,married,regularly,yes,3,school_bus,< 5,99,100,98
115,male,group C,high school,standard,none,married,sometimes,yes,4,private,05-Oct,77,74,84
116,female,group B,bachelor's degree,free/reduced,none,single,never,no,1,school_bus,05-Oct,83,79,72
117,female,group D,bachelor's degree,standard,none,married,never,no,2,private,05-Oct,80,77,75
118,female,group D,some high school,standard,none,single,regularly,yes,0,private,> 10,64,63,54
119,female,group C,some college,standard,none,divorced,sometimes,no,3,school_bus,05-Oct,69,65,55
120,female,group C,bachelor's degree,standard,completed,married,never,yes,1,school_bus,05-Oct,90,86,76
121,male,group B,associate's degree,standard,completed,married,sometimes,yes,3,school_bus,< 5,87,90,88
122,female,group C,some college,standard,completed,single,regularly,yes,1,,05-Oct,94,95,90
123,male,group D,high school,free/reduced,none,married,sometimes,no,3,private,,57,56,63
124,male,group E,some college,standard,none,single,regularly,no,3,school_bus,< 5,79,73,82
125,female,group B,high school,standard,none,single,never,yes,2,school_bus,> 10,94,85,86
126,male,group B,,standard,none,married,,no,3,private,05-Oct,68,67,72
127,male,group D,some college,standard,,married,regularly,no,3,school_bus,< 5,76,74,64
128,male,group D,master's degree,standard,none,single,never,yes,2,private,< 5,81,72,77
129,female,group A,bachelor's degree,standard,none,,regularly,yes,0,school_bus,05-Oct,49,52,52
130,male,group D,master's degree,standard,none,single,sometimes,no,1,school_bus,< 5,84,82,87
131,male,group C,some high school,free/reduced,completed,single,regularly,yes,1,private,< 5,36,40,52
132,male,,some college,free/reduced,completed,married,regularly,yes,2,school_bus,05-Oct,75,71,89
133,female,,some college,standard,completed,married,never,no,6,,< 5,78,80,70
134,male,group D,bachelor's degree,free/reduced,completed,married,sometimes,yes,1,private,> 10,80,76,76
135,male,group C,bachelor's degree,standard,none,married,sometimes,yes,1,,< 5,54,47,56
136,male,group B,some high school,standard,completed,divorced,sometimes,yes,1,private,05-Oct,54,41,51
137,male,group E,high school,standard,none,divorced,sometimes,yes,0,school_bus,< 5,54,54,67
138,female,group C,associate's degree,standard,,married,sometimes,yes,1,private,05-Oct,66,67,59
139,male,group D,some college,standard,completed,married,sometimes,yes,0,private,> 10,61,70,73
140,female,group D,some high school,standard,none,married,sometimes,no,1,school_bus,05-Oct,72,71,76
141,female,group C,some college,free/reduced,none,married,regularly,no,2,private,05-Oct,62,65,60
142,female,group E,some college,free/reduced,completed,single,regularly,,1,private,< 5,54,54,41
143,male,group A,high school,standard,none,single,sometimes,no,1,school_bus,05-Oct,43,47,57
144,male,group D,some college,standard,none,divorced,sometimes,yes,3,private,> 10,74,79,90
145,female,group C,some college,free/reduced,none,single,regularly,yes,1,school_bus,< 5,38,33,21
148,female,group D,bachelor's degree,standard,completed,married,sometimes,yes,1,private,< 5,73,79,65
149,male,group E,associate's degree,free/reduced,completed,married,regularly,no,3,private,05-Oct,100,95,100
150,male,group A,some high school,standard,completed,married,sometimes,no,2,private,05-Oct,67,69,62
152,female,group B,associate's degree,standard,completed,single,sometimes,yes,2,school_bus,< 5,68,64,57
153,male,group D,bachelor's degree,standard,none,married,sometimes,no,1,,05-Oct,49,47,54
154,male,group D,some high school,standard,none,single,never,no,2,,< 5,65,58,58
155,female,group C,some college,standard,completed,married,regularly,yes,3,school_bus,< 5,88,88,69
156,female,group E,high school,free/reduced,completed,married,regularly,yes,1,school_bus,05-Oct,75,79,67
157,male,group B,,free/reduced,none,,sometimes,yes,2,school_bus,< 5,59,58,58
158,female,group B,associate's degree,standard,,divorced,regularly,yes,2,private,05-Oct,87,89,62
159,male,group D,associate's degree,free/reduced,none,married,regularly,no,3,school_bus,> 10,63,66,70
160,male,group B,associate's degree,free/reduced,completed,single,sometimes,yes,2,private,05-Oct,78,74,82
161,female,group E,some college,free/reduced,completed,married,sometimes,yes,3,school_bus,05-Oct,88,85,75
162,male,group B,master's degree,free/reduced,none,single,never,no,2,school_bus,05-Oct,53,52,48
163,male,group C,high school,standard,none,divorced,sometimes,yes,1,school_bus,05-Oct,53,49,52
164,female,group E,master's degree,standard,none,married,never,yes,3,private,< 5,89,86,76
165,female,group C,bachelor's degree,standard,completed,married,sometimes,yes,0,school_bus,05-Oct,100,100,96
166,male,group C,high school,free/reduced,completed,single,sometimes,yes,5,private,05-Oct,51,51,53
167,female,group B,master's degree,free/reduced,completed,married,regularly,no,1,private,> 10,79,83,62
168,female,group B,high school,standard,completed,married,regularly,yes,2,private,05-Oct,84,79,70
170,male,group A,high school,standard,completed,divorced,regularly,yes,5,school_bus,> 10,75,77,76
171,male,group E,some high school,standard,none,married,sometimes,no,3,school_bus,< 5,86,76,91
172,female,group D,some college,standard,none,single,never,yes,3,school_bus,05-Oct,84,78,76
173,female,group C,associate's degree,standard,none,married,sometimes,yes,2,school_bus,05-Oct,67,70,63
174,female,group C,bachelor's degree,free/reduced,completed,married,sometimes,no,1,school_bus,< 5,50,52,41
175,female,group C,master's degree,standard,completed,divorced,sometimes,yes,1,school_bus,05-Oct,92,89,81
176,female,group B,high school,free/reduced,completed,married,sometimes,no,2,school_bus,< 5,53,56,44
177,female,group C,associate's degree,standard,completed,married,regularly,yes,,school_bus,< 5,76,77,70
178,female,group B,master's degree,free/reduced,completed,divorced,regularly,yes,2,school_bus,05-Oct,72,65,54
179,female,group D,some high school,standard,completed,divorced,regularly,yes,0,school_bus,05-Oct,100,100,99
180,male,group C,master's degree,free/reduced,completed,single,sometimes,yes,2,private,< 5,68,75,60
181,female,group C,some college,free/reduced,none,single,sometimes,yes,1,private,05-Oct,64,66,46
182,female,group E,high school,standard,none,married,sometimes,yes,3,private,,50,47,50
183,female,group D,associate's degree,standard,none,single,sometimes,no,,private,< 5,67,68,63
185,male,group C,associate's degree,free/reduced,completed,married,never,yes,5,private,< 5,65,62,61
186,male,group E,high school,standard,none,married,never,yes,1,school_bus,< 5,73,62,75
187,male,group D,some high school,standard,completed,married,sometimes,no,4,private,05-Oct,66,68,62
188,male,group B,some high school,free/reduced,none,married,regularly,no,3,school_bus,< 5,51,45,47
189,female,group C,bachelor's degree,standard,none,single,sometimes,yes,1,school_bus,< 5,86,85,74
190,female,group E,associate's degree,standard,none,married,sometimes,yes,2,school_bus,05-Oct,65,69,66
191,male,group D,some college,standard,completed,married,sometimes,no,2,school_bus,< 5,81,77,73
192,female,group B,some high school,standard,none,single,sometimes,no,3,private,,64,66,62
193,male,group D,some college,standard,completed,married,regularly,yes,4,,,62,63,79
194,female,group C,master's degree,standard,completed,,regularly,yes,1,school_bus,< 5,85,87,69
195,male,group D,associate's degree,standard,none,married,regularly,no,4,school_bus,< 5,54,52,60
196,male,group C,,free/reduced,completed,married,never,yes,1,school_bus,05-Oct,67,63,57
197,male,group E,high school,free/reduced,none,married,,no,7,private,> 10,56,52,56
198,female,group B,some college,free/reduced,none,widowed,regularly,yes,3,,> 10,54,57,47
199,female,group B,bachelor's degree,free/reduced,,married,regularly,yes,3,private,05-Oct,80,77,80
200,female,group C,associate's degree,standard,completed,single,regularly,no,1,private,< 5,83,86,66
201,female,group D,some college,free/reduced,none,divorced,sometimes,yes,3,school_bus,< 5,79,75,63
202,male,group C,associate's degree,standard,none,married,sometimes,yes,2,school_bus,05-Oct,77,69,69
203,female,,associate's degree,standard,none,,regularly,yes,2,school_bus,05-Oct,70,69,58
204,male,group C,some college,standard,none,single,regularly,yes,1,,< 5,40,42,58
205,male,group D,some high school,standard,completed,married,,yes,,school_bus,< 5,69,76,71
206,male,group E,bachelor's degree,standard,none,married,regularly,yes,4,school_bus,05-Oct,62,63,84
207,male,group E,high school,standard,completed,married,regularly,no,2,school_bus,05-Oct,81,77,83
208,female,group B,some college,free/reduced,none,married,regularly,yes,1,private,< 5,80,76,73
209,female,group B,some college,free/reduced,,single,sometimes,no,2,,,61,66,58
210,male,group D,some high school,free/reduced,completed,widowed,sometimes,yes,3,school_bus,< 5,77,77,77
211,male,group C,some college,free/reduced,,married,sometimes,yes,3,school_bus,05-Oct,28,27,35
212,female,group C,high school,free/reduced,none,divorced,sometimes,yes,2,school_bus,05-Oct,62,60,42
213,male,group C,associate's degree,free/reduced,completed,single,regularly,no,1,school_bus,05-Oct,51,57,61
214,male,group E,high school,standard,,married,sometimes,yes,1,private,05-Oct,91,81,87
215,male,group B,some high school,standard,completed,,regularly,no,2,private,05-Oct,84,76,86
216,female,group E,associate's degree,free/reduced,completed,married,sometimes,yes,3,school_bus,< 5,84,86,80
217,female,group C,high school,free/reduced,,married,regularly,no,3,,< 5,41,39,33
218,male,group B,high school,free/reduced,none,married,sometimes,no,2,school_bus,< 5,75,68,64
219,male,group B,some high school,standard,completed,single,never,no,1,,05-Oct,55,54,59
220,female,group D,high school,standard,completed,widowed,regularly,yes,4,school_bus,05-Oct,69,75,57
221,male,group B,associate's degree,standard,none,married,sometimes,yes,0,school_bus,> 10,86,74,89
222,female,group C,some high school,free/reduced,,divorced,sometimes,no,3,,05-Oct,65,62,55
223,male,group D,some high school,standard,none,married,regularly,no,3,school_bus,05-Oct,81,76,88
224,female,group B,associate's degree,standard,completed,divorced,regularly,,3,school_bus,> 10,67,76,55
225,female,group E,master's degree,free/reduced,none,married,sometimes,no,,private,< 5,55,52,43
226,female,group C,some college,standard,none,married,sometimes,yes,5,school_bus,05-Oct,72,71,72
227,male,group D,high school,standard,none,single,regularly,yes,0,school_bus,05-Oct,50,55,58
228,male,group A,,free/reduced,none,divorced,sometimes,no,4,school_bus,05-Oct,72,64,68
229,female,group C,some college,standard,completed,married,regularly,yes,3,school_bus,> 10,97,98,93
230,male,group D,some college,standard,none,married,regularly,yes,0,,05-Oct,64,67,78
231,male,group C,associate's degree,standard,none,married,regularly,,1,private,05-Oct,43,43,47
232,female,group B,bachelor's degree,standard,none,married,sometimes,yes,2,school_bus,05-Oct,86,83,67
233,male,group E,some high school,standard,none,divorced,sometimes,yes,3,school_bus,> 10,88,79,94
234,male,group C,bachelor's degree,standard,completed,married,sometimes,no,3,school_bus,> 10,83,85,85
235,male,group D,associate's degree,standard,none,married,regularly,no,1,school_bus,> 10,77,80,84
236,male,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,2,school_bus,< 5,65,67,62
237,female,group D,some high school,standard,,married,sometimes,yes,4,school_bus,< 5,59,72,62
238,male,group B,some college,standard,none,married,regularly,yes,2,private,> 10,53,53,57
239,male,group C,associate's degree,standard,none,,sometimes,yes,1,private,05-Oct,80,80,84
240,male,group D,high school,free/reduced,completed,divorced,,yes,1,private,> 10,69,67,75
241,female,group E,bachelor's degree,standard,none,single,regularly,no,4,private,05-Oct,84,85,82
243,male,group E,some college,standard,,single,regularly,no,2,school_bus,< 5,50,43,58
244,male,group D,some high school,standard,none,divorced,regularly,yes,1,school_bus,< 5,73,69,74
245,male,group C,associate's degree,standard,none,married,sometimes,no,3,private,< 5,74,69,82
246,male,group E,associate's degree,standard,,married,regularly,no,2,school_bus,05-Oct,77,75,91
247,female,group B,high school,standard,completed,single,sometimes,yes,1,private,05-Oct,70,68,58
248,female,group B,high school,standard,none,married,sometimes,yes,2,private,< 5,63,60,63
249,male,,high school,standard,none,married,sometimes,no,2,school_bus,> 10,60,54,70
250,male,group A,some high school,standard,completed,single,sometimes,yes,2,school_bus,05-Oct,49,49,47
251,female,group D,some college,free/reduced,none,married,regularly,,4,school_bus,< 5,82,83,70
252,female,group B,some high school,standard,completed,single,sometimes,yes,3,private,05-Oct,70,70,60
253,male,group D,master's degree,standard,none,married,sometimes,no,3,school_bus,,80,72,80
254,male,group D,high school,standard,none,married,sometimes,yes,0,private,05-Oct,52,52,54
255,female,group E,some college,standard,none,single,sometimes,no,1,school_bus,05-Oct,73,70,62
256,female,group C,associate's degree,free/reduced,none,single,sometimes,no,5,private,< 5,71,66,62
257,male,,associate's degree,standard,completed,married,regularly,,1,school_bus,05-Oct,78,78,80
260,female,group C,some high school,free/reduced,completed,married,sometimes,yes,1,private,> 10,80,78,65
261,male,group C,some college,standard,completed,married,sometimes,no,2,school_bus,05-Oct,79,78,79
262,female,group C,some high school,free/reduced,none,married,regularly,no,2,private,05-Oct,50,52,45
263,female,group E,high school,standard,none,single,sometimes,yes,1,private,05-Oct,93,90,99
264,male,group D,high school,standard,none,married,sometimes,no,2,private,05-Oct,73,68,76
265,male,group D,some high school,free/reduced,none,divorced,sometimes,no,1,school_bus,< 5,41,40,57
266,female,,bachelor's degree,standard,none,married,sometimes,no,2,school_bus,< 5,73,79,61
267,female,group D,high school,standard,none,married,regularly,no,3,school_bus,05-Oct,73,78,71
268,female,group D,associate's degree,standard,completed,married,regularly,yes,5,school_bus,> 10,94,99,93
269,female,group E,some college,free/reduced,none,married,sometimes,no,2,school_bus,,76,70,71
270,male,group C,bachelor's degree,standard,none,married,sometimes,yes,2,school_bus,05-Oct,63,61,69
271,male,group C,some college,standard,,single,regularly,yes,1,,< 5,48,42,57
272,female,group D,associate's degree,free/reduced,none,single,regularly,yes,2,private,05-Oct,53,59,48
273,female,group D,some college,standard,none,married,sometimes,no,2,private,05-Oct,70,71,65
274,male,group B,some college,standard,completed,widowed,,yes,1,school_bus,< 5,83,74,85
275,male,group C,bachelor's degree,standard,none,married,sometimes,no,3,school_bus,05-Oct,78,73,83
276,female,group C,some high school,standard,completed,married,sometimes,yes,3,private,< 5,90,91,82
277,female,group E,,standard,completed,single,sometimes,no,4,school_bus,< 5,62,73,57
278,female,group C,some high school,free/reduced,none,married,sometimes,yes,1,school_bus,05-Oct,86,80,65
279,male,group B,bachelor's degree,free/reduced,none,widowed,sometimes,no,2,school_bus,05-Oct,56,57,73
281,male,group D,high school,standard,none,divorced,sometimes,no,,private,05-Oct,48,46,45
282,female,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,3,school_bus,05-Oct,80,86,75
283,female,group D,some college,free/reduced,completed,,never,yes,2,school_bus,05-Oct,76,76,67
284,female,,some high school,standard,none,married,regularly,yes,0,private,< 5,45,46,36
285,male,group B,associate's degree,standard,completed,married,never,yes,3,school_bus,05-Oct,80,79,78
286,male,group E,associate's degree,standard,completed,married,regularly,yes,0,private,05-Oct,83,90,99
287,female,group B,some high school,standard,none,married,sometimes,no,1,school_bus,< 5,87,80,64
288,male,group B,bachelor's degree,free/reduced,none,single,sometimes,yes,0,,< 5,73,74,85
289,male,,some high school,standard,completed,married,sometimes,yes,1,school_bus,> 10,77,78,79
290,male,group C,associate's degree,standard,none,married,sometimes,no,2,school_bus,05-Oct,70,68,76
291,male,group D,some high school,standard,none,married,sometimes,yes,2,private,< 5,71,68,83
292,male,group C,some high school,standard,completed,married,never,yes,1,private,05-Oct,59,55,61
293,female,group E,bachelor's degree,standard,none,married,sometimes,yes,,school_bus,> 10,74,76,66
294,male,group D,high school,free/reduced,completed,single,regularly,yes,3,school_bus,05-Oct,78,82,80
295,male,group B,associate's degree,free/reduced,none,married,never,yes,1,school_bus,> 10,61,59,66
296,male,,some high school,standard,completed,widowed,regularly,no,2,school_bus,05-Oct,41,44,47
297,male,,associate's degree,standard,completed,single,regularly,no,1,school_bus,05-Oct,75,69,73
298,male,group C,,free/reduced,completed,single,regularly,no,2,private,< 5,45,50,39
299,male,group D,associate's degree,free/reduced,none,married,regularly,no,2,,< 5,86,75,89
300,male,group A,some college,free/reduced,completed,married,never,yes,2,private,< 5,75,77,76
301,male,group D,some high school,free/reduced,,divorced,regularly,no,4,school_bus,< 5,53,52,55
302,female,group C,associate's degree,standard,completed,single,never,yes,5,school_bus,> 10,83,80,66
303,male,group B,associate's degree,standard,none,married,regularly,yes,1,school_bus,05-Oct,77,65,82
304,female,group C,associate's degree,standard,completed,married,regularly,yes,2,school_bus,05-Oct,76,85,76
305,male,group A,some college,standard,none,,sometimes,yes,7,private,05-Oct,67,69,69
306,male,group E,some college,standard,completed,divorced,regularly,yes,5,private,05-Oct,88,83,100
307,male,group C,some high school,standard,none,single,regularly,no,2,,05-Oct,52,45,52
308,female,group B,associate's degree,free/reduced,none,married,regularly,no,3,private,> 10,73,70,56
309,female,group D,high school,free/reduced,,single,regularly,yes,5,,< 5,56,52,48
310,female,group B,associate's degree,standard,none,married,sometimes,no,2,school_bus,05-Oct,76,80,73
311,male,group B,bachelor's degree,standard,none,married,never,yes,3,school_bus,< 5,58,54,62
312,male,group D,bachelor's degree,standard,completed,single,sometimes,yes,0,private,,61,68,67
313,female,group C,associate's degree,free/reduced,completed,single,sometimes,yes,2,private,> 10,68,70,70
315,male,group C,high school,standard,none,married,regularly,no,3,private,05-Oct,66,66,73
316,female,group D,master's degree,standard,completed,widowed,never,yes,3,private,05-Oct,80,88,74
317,male,group C,associate's degree,standard,none,single,sometimes,no,1,school_bus,05-Oct,72,78,83
318,male,group B,bachelor's degree,standard,none,married,sometimes,yes,,private,< 5,69,67,61
319,female,group D,associate's degree,free/reduced,none,single,regularly,no,1,school_bus,< 5,64,63,55
320,female,group C,high school,free/reduced,,divorced,sometimes,yes,2,,< 5,77,82,64
321,female,group E,high school,standard,none,married,never,no,3,private,> 10,85,78,74
322,female,group C,some college,standard,none,married,regularly,yes,2,private,< 5,80,80,70
323,female,group C,some high school,free/reduced,none,married,sometimes,yes,5,private,05-Oct,52,51,40
324,female,group C,high school,free/reduced,none,divorced,sometimes,no,1,,< 5,45,42,39
325,female,group C,some college,standard,none,single,sometimes,yes,3,school_bus,05-Oct,90,94,82
326,male,group C,some college,standard,none,married,sometimes,yes,1,school_bus,05-Oct,61,62,61
327,male,group A,some college,free/reduced,none,married,regularly,yes,2,school_bus,> 10,23,19,29
328,male,group C,associate's degree,standard,completed,married,sometimes,yes,5,school_bus,05-Oct,75,77,82
329,female,group B,some high school,standard,none,married,sometimes,yes,2,school_bus,< 5,54,49,39
330,male,group C,high school,standard,none,single,regularly,yes,,school_bus,< 5,59,61,70
331,male,group C,associate's degree,standard,none,,sometimes,no,3,private,< 5,36,34,45
332,male,group E,associate's degree,standard,completed,married,never,no,3,school_bus,> 10,55,52,61
333,male,group B,associate's degree,standard,none,single,sometimes,yes,1,school_bus,05-Oct,78,81,90
334,female,group C,bachelor's degree,standard,none,,sometimes,yes,1,,,93,95,83
335,female,group B,some college,free/reduced,none,married,regularly,yes,2,,05-Oct,69,67,62
336,male,group D,some high school,standard,completed,married,regularly,no,,private,05-Oct,71,70,78
337,male,group C,associate's degree,standard,none,single,regularly,yes,2,,05-Oct,51,44,50
338,female,group B,some high school,free/reduced,none,single,sometimes,no,3,school_bus,< 5,37,26,23
